MOOC,Year,New Learners,Courses,Microcredentials,Degrees,Revenues,Consumer,Enterprise,Master Degrees
Coursera,2021,97000000,6000,910,34,415400000,246200000,120400000,48800000
Edx,2021,42000000,3550,480,13,97500000,N/A,N/A,N/A
FutureLearn,2021,17000000,1400,180,22,13200000,N/A,N/A,N/A
Coursera,2020,76000000,4600,614,25,293700000,193000000,70800000,29900000
Edx,2020,35000000,3100,385,13,84700000,N/A,N/A,N/A
FutureLearn,2020,14000000,1160,86,28,10000000,N/A,N/A,N/A
Coursera,2019,45000000,3800,419,16,184300000,121000000,48200000,15100000
Edx,2019,24000000,2640,292,10,76000000,N/A,N/A,N/A
FutureLearn,2019,11500000,880,49,23,9000000,N/A,N/A,N/A
Coursera,2018,37000000,3100,313,11,140900000,107500000,26000000,7400000
Edx,2018,18000000,2200,231,9,60000000,N/A,N/A,N/A
FutureLearn,2018,8700000,1000,37,18,10500000,N/A,N/A,N/A
Coursera,2017,30000000,2700,257,4,95600000,85700000,7400000,2500000
Edx,2017,14000000,1800,110,1,54000000,N/A,N/A,N/A
FutureLearn,2017,7100000,700,22,4,82000000,N/A,N/A,N/A
 ,,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
